"serial","name"
"0","HODL"
"1","Big Short"
"2","Love FIAT"
"3","Original Doten-Kun"
"4","Doten-Kun Aka ver."
"5","Heikin-Sama"
"6","Weekday Anomaly"
"7","Buy Tokyo Time, Sell Others"
"8","Buy London Time, Sell Others"
"9","Buy NY Time, Sell Others"
"10","Opening Range Breakout of Period 4 hours with Thresh 0.5"
"11","Opening Range Breakout of Period 4 hours with Thresh 1.0"
"12","Opening Range Breakout of Period 4 hours with Thresh 1.5"
"13","Opening Range Breakout of Period 12 hours with Thresh 0.5"
"14","Opening Range Breakout of Period 12 hours with Thresh 1.0"
"15","Opening Range Breakout of Period 12 hours with Thresh 1.5"
"16","Opening Range Breakout of Period 24 hours with Thresh 0.5"
"17","Opening Range Breakout of Period 24 hours with Thresh 1.0"
"18","Opening Range Breakout of Period 24 hours with Thresh 1.5"
"19","Opening Range Breakout of Period 48 hours with Thresh 0.5"
"20","Opening Range Breakout of Period 48 hours with Thresh 1.0"
"21","Opening Range Breakout of Period 48 hours with Thresh 1.5"
"22","High-Low Band Breakout of Period 4 hours"
"23","High-Low Band Breakout of Period 4 hours with Band Shift (5% Outer)"
"24","High-Low Band Breakout of Period 4 hours with Band Shift (5% Inner)"
"25","High-Low Band Breakout of Period 12 hours"
"26","High-Low Band Breakout of Period 12 hours with Band Shift (5% Outer)"
"27","High-Low Band Breakout of Period 12 hours with Band Shift (5% Inner)"
"28","High-Low Band Breakout of Period 24 hours"
"29","High-Low Band Breakout of Period 24 hours with Band Shift (5% Outer)"
"30","High-Low Band Breakout of Period 24 hours with Band Shift (5% Inner)"
"31","High-Low Band Breakout of Period 48 hours"
"32","High-Low Band Breakout of Period 48 hours with Band Shift (5% Outer)"
"33","High-Low Band Breakout of Period 48 hours with Band Shift (5% Inner)"
"34","4 hours Moving Average and 12 hours Moving Average Cross"
"35","4 hours Moving Average and 24 hours Moving Average Cross"
"36","4 hours Moving Average and 48 hours Moving Average Cross"
"37","4 hours Moving Average and 72 hours Moving Average Cross"
"38","12 hours Moving Average and 24 hours Moving Average Cross"
"39","12 hours Moving Average and 48 hours Moving Average Cross"
"40","12 hours Moving Average and 72 hours Moving Average Cross"
"41","12 hours Moving Average and 96 hours Moving Average Cross"
"42","24 hours Moving Average and 48 hours Moving Average Cross"
"43","24 hours Moving Average and 72 hours Moving Average Cross"
"44","24 hours Moving Average and 96 hours Moving Average Cross"
"45","24 hours Moving Average and 120 hours Moving Average Cross"
"46","Trendfollow based on Past 4 hours Return"
"47","Trendfollow based on Past 4 hours Return with Thresh 3%"
"48","Trendfollow based on Past 4 hours Return with Thresh 5%"
"49","Trendfollow based on Past 12 hours Return"
"50","Trendfollow based on Past 12 hours Return with Thresh 5%"
"51","Trendfollow based on Past 12 hours Return with Thresh 10%"
"52","Trendfollow based on Past 24 hours Return"
"53","Trendfollow based on Past 24 hours Return with Thresh 10%"
"54","Trendfollow based on Past 24 hours Return with Thresh 15%"
"55","Buy the Dip Sell the Rip, 5% from 1 hour Highest High and Lowest Low"
"56","Buy the Dip Sell the Rip, 5% from 2 hours Highest High and Lowest Low"
"57","Buy the Dip Sell the Rip, 5% from 4 hours Highest High and Lowest Low"
"58","Buy the Dip Sell the Rip, 5% from 6 hours Highest High and Lowest Low"
"59","Buy the Dip Sell the Rip, 5% from 8 hours Highest High and Lowest Low"
"60","Buy the Dip Sell the Rip, 5% from 12 hours Highest High and Lowest Low"
"61","Buy the Dip Sell the Rip, 10% from 1 hour Highest High and Lowest Low"
"62","Buy the Dip Sell the Rip, 10% from 2 hours Highest High and Lowest Low"
"63","Buy the Dip Sell the Rip, 10% from 4 hours Highest High and Lowest Low"
"64","Buy the Dip Sell the Rip, 10% from 6 hours Highest High and Lowest Low"
"65","Buy the Dip Sell the Rip, 10% from 8 hours Highest High and Lowest Low"
"66","Buy the Dip Sell the Rip, 10% from 12 hours Highest High and Lowest Low"
"67","Reversal against 2 sigma Bollinger Band of Period 4 hours"
"68","Reversal against 2 sigma Bollinger Band of Period 12 hours"
"69","Reversal against 2 sigma Bollinger Band of Period 24 hours"
"70","Reversal against 2 sigma Bollinger Band of Period 48 hours"
"71","Reversal against High-Low Band of Period 4 hours"
"72","Reversal against High-Low Band of Period 12 hours"
"73","Reversal against High-Low Band of Period 24 hours"
"74","Reversal against High-Low Band of Period 48 hours"
"75","Reversal against 5% MA Channel of Period 24 hours"
"76","Reversal against 5% MA Channel of Period 48 hours"
"77","Reversal against 10% MA Channel of Period 72 hours"
"78","Reversal against 10% MA Channel of Period 120 hours"
"79","Reversal based on Past 24 hours Price Move, 1 hour Return Shifted 23 hours"
"80","Reversal based on Past 24 hours Price Move, 2 hours Return Shifted 22 hours"
"81","Reversal based on Past 24 hours Price Move, 4 hours Return Shifted 20 hours"
"82","Reversal based on Past 24 hours Price Move, 6 hours Return Shifted 18 hours"
"83","Reversal based on Past 24 hours Price Move, 8 hours Return Shifted 16 hours"
"84","Reversal based on Past 24 hours Price Move, 10 hours Return Shifted 14 hours"
"85","Reversal based on Past 24 hours Price Move, 12 hours Return Shifted 12 hours"
"86","Reversal based on Past 24 hours Price Move, 14 hours Return Shifted 10 hours"
"87","Reversal based on Past 24 hours Price Move, 16 hours Return Shifted 8 hours"
"88","Reversal based on Past 24 hours Price Move, 18 hours Return Shifted 6 hours"
"89","Reversal based on Past 24 hours Price Move, 20 hours Return Shifted 4 hours"
"90","Reversal based on Past 24 hours Price Move, 22 hours Return Shifted 2 hours"
"91","Reversal based on Past 1 hour Return"
"92","Reversal based on Past 1 hour Return with Thresh 5%"
"93","Reversal based on Past 1 hour Return with Thresh 10%"
"94","Reversal based on Past 4 hours Return"
"95","Reversal based on Past 4 hours Return with Thresh 5%"
"96","Reversal based on Past 4 hours Return with Thresh 10%"
"97","Reversal based on Past 12 hours Return"
"98","Reversal based on Past 12 hours Return with Thresh 5%"
"99","Reversal based on Past 12 hours Return with Thresh 10%"
